Fiscal Year,Provider Type,Site Name,Sponsor/Vendor,Geriatric Mental Health (GMH) Service Site,Site Type,DFTA ID,Site Address,Address Line 2,Borough,Zip Code,Community District,City Council District,X Coordinate,Y Coordinate,Latitude,Longitude,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
2023,Older Adult Center,JCCGCI Coney Island Seaside Older Adult Center (ISC),Jewish Community Council Of Greater Coney Island Inc,Yes,Main Site,C4701,3001 West 37th Street,,Brooklyn,11224,313,47,983553,148100,40.573177,-74.002509,3189617,3070650001,340,BK1302
2023,Transportation,JCC Project Relief,"JCC Of Greater Coney Island, Inc.",,Main Site,246,3001 West 37th Street,,Brooklyn,11224,313,47,983553,148100,40.573177,-74.002509,3189617,3070650001,340,BK1302
2023,Caregiver,JASA Brooklyn,JASA,,Main,2K2,161 Corbin Place,,Brooklyn,11235,315,48,996993,149870,40.578026,-73.954127,3245719,3087190073,61004,BK1303
2023,Case Management Agency,JASA SOUTH BKLYN,JASA,,Main,2MJ,3161 BRIGHTON 6 STREET,,Brooklyn,11235,313,48,995055,149006,40.575657,-73.961105,3245130,3086930012,36002,BK1303
2023,Case Management Agency,JASA SHEEPSHEAD BAY,JASA,,Main,2MK,161 CORBIN PLACE,,Brooklyn,11235,315,48,996993,149870,40.578026,-73.954127,3245719,3087190073,61004,BK1303
2023,Older Adult Center,JASA Senior Alliance Older Adult Center,The Jewish Association For Services For The Aged,Yes,Main Site,C8307,161 Corbin Place,,Brooklyn,11235,313,47,989910,149620,40.578026,-73.954127,3245719,3087190073,61004,BK1303
2023,Case Management Agency,JASA STOREFRONT,JASA,,Main,2MG,2211 CHURCH AVE,3RD FL,Brooklyn,11226,314,40,995856,176246,40.650424,-73.958175,3116881,3050890071,79602,BK1401
2023,Older Adult Center,Hazel Brooks OAC,"Fort Greene Council, Inc.",,Main Site,C3514,961 Ocean Avenue,,Brooklyn,11226,314,40,995663,172044,40.638891,-73.958877,3120264,3052060062,51601,BK1401
2023,Older Adult Center,Young at Heart Senior Center at the Flatbush YMCA,YMCA Of Greater New York,,Main Site,C9303,1401 Flatbush Avenue,,Brooklyn,11210,314,45,997700,171178,40.636511,-73.951539,3120877,3052280008,78801,BK1401
2023,Older Adult Center,JCCGCI Marien-Heim Older Adult Center,Jewish Community Council Of Greater Coney Island Inc,,Main Site,C4705,870 Ocean Parkway,,Brooklyn,11230,312,44,992284,167790,40.627218,-73.971057,3170453,3065080006,46201,BK1402
2023,Older Adult Center,Agudath Israel Brookdale Senior Center,Agudath Israel Of America Community Services Inc,,Main Site,C0101,817 Avenue H,,Brooklyn,11230,314,40,992942,168537,40.629268,-73.968686,3170160,3064960039,460,BK1402
2023,Older Adult Center,Council of Peoples Organization: Halal Senior Center,"Council of Peoples Organization, Inc.",,Affiliated,C2701,1075-1077 Coney Island Avenue,,Brooklyn,11230,314,45,993558,169230,40.631169,-73.966466,3178919,3066860080,528,BK1402
2023,Older Adult Center,Dorchester Senior Citizens Center OAC,Dorchester Senior Citizens Center Inc,Yes,Main Site,C2901,1419 Dorchester Road,,Brooklyn,11226,314,40,994050,172073,40.638972,-73.964689,3118688,3051570035,520,BK1402
2023,Older Adult Center,JCCGCI Midwood Older Adult Center,Jewish Community Council Of Greater Coney Island Inc,,Main Site,C4707,1625 Ocean Avenue,,Brooklyn,11230,314,45,996536,166015,40.622341,-73.955743,3208316,3076200025,760,BK1403
2023,Older Adult Center,Young Israel Programs Midwood,Young Israel Programs Inc,,Main Site,C9402,1694 Ocean Avenue,,Brooklyn,11230,314,48,996630,165325,40.620447,-73.955405,3180733,3067390044,538,BK1403
2023,Older Adult Center,Council Ctr for Senior Citizens,"Brooklyn Section National Council Of Jewish Women, Inc.",Yes,Main Site,C1301,1001 Quentin road,,Brooklyn,11223,315,44,994573,160700,40.607755,-73.962822,3176314,3066420045,420,BK1501
2023,Older Adult Center,JCCGCI Kings Highway Older Adult Center,Jewish Community Council Of Greater Coney Island Inc,,Main Site,C4704,1879 East 3rd Street,,Brooklyn,11223,315,47,992596,159367,40.604098,-73.969944,3178594,3066810225,41402,BK1501
2023,Older Adult Center,JCCGCI Ocean Parkway Older Adult Center,Jewish Community Council Of Greater Coney Island Inc,,Main Site,C4708,1960 East 7th Street,,Brooklyn,11223,315,47,993946,158998,40.603084,-73.965083,3178703,3066820045,418,BK1501
2023,Older Adult Center,SBH Older Adult Center - Senior Pavilion,SBH Community Service Network Inc,,Main Site,C6601,1963 McDonald Avenue,,Brooklyn,11223,315,44,991952,159634,40.604832,-73.972263,3397113,3066580062,422,BK1501
2023,Older Adult Center,Sephardic Multi Services Senior Citizens Center Inc,Sephardic Multi-Services Senior Citizen Center Inc,,Main Site,C6801,485 Kings Highway,,Brooklyn,11223,315,44,992121,159425,40.604258,-73.971654,3177186,3066580048,422,BK1501
2023,Older Adult Center,JCCGCI Jay-Harama Older Adult Center,Jewish Community Council Of Greater Coney Island Inc,Yes,Main Site,C4703,2600 Ocean Avenue,,Brooklyn,11229,315,48,997806,157205,40.598158,-73.951186,3199766,3073520032,578,BK1502
2023,Older Adult Center,CCNS The Bay OAC,Catholic Charities Neighborhood Services Inc,,Main Site,C1706,3643 Nostrand Avenue,,Brooklyn,11229,315,46,1000684,156044,40.594966,-73.940825,3344554,3074051001,572,BK1503
2023,Older Adult Center,Saratoga Sq Senior,RiseBoro Community Partnership Inc,Yes,Affiliated,W2008,930 Halsey Street,,Brooklyn,11233,316,41,1007276,189062,40.685579,-73.916976,3339097,3014950013,373,BK1601
2023,Grandparents Resource Center,GRC - MAP - Brownsville Social Club,Grandparents Resource Center,,Satellite,DFTA03,528 Mother Gaston Boulevard,,Brooklyn,11212,316,41,1010349,181916,40.665956,-73.905923,3325326,3035610001,912,BK1602
2023,Older Adult Center,CCNS Riverway OAC (ISC),Catholic Charities Neighborhood Services Inc,Yes,Main Site,C1708,230 Riverdale Avenue,,Brooklyn,11212,316,42,1009768,180140,40.661083,-73.908024,3413856,3036030025,916,BK1602
2023,Older Adult Center,Marcus Garvey,"Fort Greene Council, Inc.",,Affiliated,C3502,1440 East New York Avenue,,Brooklyn,11212,316,41,1007947,183625,40.670654,-73.914575,3080727,3034960013,902,BK1602
2023,Older Adult Center,Seth Low Social Clubs,"Fort Greene Council, Inc.",,Affiliated,C3503,137 Belmont Avenue,,Brooklyn,11212,316,41,1010556,183100,40.669205,-73.905172,3327015,3037270001,908,BK1602
2023,Older Adult Center,Wayside Out  Glenmore Plaza Social Club,Wayside Out-Reach Development Inc,,Affiliated,C9008,1777 Pitkin Avenue,,Brooklyn,11212,316,37,1009893,183450,40.670168,-73.907561,3080766,3035070001,906,BK1602
2023,Older Adult Center,Wayside Out Brownsville Social Club,Wayside Out-Reach Development Inc,,Affiliated,C9002,528 Mother Gaston Blvd,,Brooklyn,11212,316,41,1010349,181916,40.665956,-73.905923,3325326,3035610001,912,BK1602
2023,Older Adult Center,Wayside Out Langston Hughes Social Club,Wayside Out-Reach Development Inc,,Affiliated,C9004,301 Sutter Avenue,,Brooklyn,11212,316,41,1009475,182409,40.667312,-73.909072,3348344,3035260021,906,BK1602
2023,Older Adult Center,Wayside Out Rosetta Gaston Senior Center,Wayside Out-Reach Development Inc,,Main Site,C9001,460 Dumont Avenue,,Brooklyn,11212,316,42,1011376,181620,40.66514,-73.902222,3328133,3037970001,910,BK1602
2023,Older Adult Center,Wayside Out Tilden Senior Center,Wayside Out-Reach Development Inc,,Main Site,C9003,630 Mother Gaston Boulevard,,Brooklyn,11212,316,41,1010529,181011,40.663471,-73.905278,3326549,3035760001,912,BK1602
2023,Older Adult Center,Wayside Out Van Dyke II Senior Center,Wayside Out-Reach Development Inc,,Main Site,C9007,430 Dumont Avenue,,Brooklyn,11212,316,41,1011075,181562,40.664982,-73.903308,3328126,3037940001,910,BK1602
2023,Older Adult Center,Remsen Sarita Jean OAC,"Fort Greene Council, Inc.",Yes,Main Site,C3512,3304 Clarendon Road,,Brooklyn,11210,317,45,999320,173699,40.643428,-73.945697,3111409,3049500001,830,BK1702
