"lottery_id","lottery_name","development_type","reporting_construction_type","unit_count","hpd_building_id","hc_building_id","house_number","street_name","borough","unit_distribution_studio","unit_distribution_1bed","unit_distribution_2bed","unit_distribution_3bed","unit_distribution_4bed","applied_income_ami_ext_low","applied_income_ami_very_low","applied_income_ami_low","applied_income_ami_moderate","applied_income_ami_middle","applied_income_ami_above","address_zipcode","address_latitude","address_longitude","address_communitydistrict","address_citycouncildistrict","address_buildingidentificationnumber","address_bbl","address_censustrack2020","address_nta2020"
"2163","Washington Manor Apartments","Rental","New Construction","9","992662","3305","1969","WASHINGTON AVENUE","BX",,"6","3",,,,,"9",,,,"10457","40.848647","-73.897167","206","15","2128923","2030350044","395","BX0602"
"1797","148 Bleecker Street Apartment","Rental","New Construction","8","996509","3320","148","BLEECKER STREET","BK","1","3","4",,,,,,,"8",,"11221","40.69625","-73.920104","304","37","3325707","3033060018","419","BK0402"
"4341","673 Hart Street","Rental","New Construction","9","0","6512","673","Hart St","BK",,"5","4",,,,,,,"9",,"11221","40.698845","-73.925777","304","34","3428954","3032187501","423","BK0401"
"1749","83-67 116th Street Apartments","Rental","New Construction","14","530526","3176","83-67","116 STREET","QN","4","6","4",,,,,,,"14",,"11418","40.704521","-73.835823","409","29","4617666","4033210175","134","QN0901"
"7518","Belle Garden Phase II","Owner","Preservation","10","311527","7992","444","HERKIMER STREET","BK",,"2","8",,,,,,"10",,,"11213","40.679054","-73.93902","303","36","3000000","3018710043","271","BK0302"
"7571","Botanic Heights","Rental","New Construction","91","0","8063","960","Franklin Ave","BK",,"62","29",,,,,,,"91",,"11225","40.665392","-73.959888","309","35","3000000","3011920040","213","BK0901"
"2779","Amanda's Cove Waiting List","Rental","New Construction","8","853820","4312","3210","OLINVILLE AVENUE","BX",,"1","5","2",,,,"6","2",,,"10467","40.871854","-73.868238","212","12","2056207","2045950004","374","BX1201"
"2940","TRIO","Rental","New Construction","11","0","4513","27-19","Thomson Ave","QN","1","7","3",,,,,,,"11",,"11101","40.746303","-73.942452","402","26","4000694","4000817502","1901","QN0201"
"4527","194 Buffalo Avenue Apartments","Rental","New Construction","3","1014654","6648","194","Buffalo Ave","BK",,"3",,,,,,,,"3",,"11213","40.672536","-73.925211","308","41","3000000","3013680050","347","BK0802"
"3675","438 Union Avenue Apartments","Rental","New Construction","4","1007606","6052","438","UNION AVENUE","BK",,"4",,,,,,,,"4",,"11211","40.713455","-73.951519","301","34","3068769","3027610005","513","BK0102"
"2312","3315 & 3317 Parkside Place","Rental","New Construction","3","1001470","3864","3315","Parkside Pl","BX",,"1","2",,,,,,,"3",,"10467","40.87658","-73.87252","207","11","2128978","2033550250","42902","BX0703"
"7300","MBD New Heights Apartments","Rental","New Construction","2","45452","7743","970","ANDERSON AVENUE","BX",,,"1","1",,,,"2",,,,"10452","40.831609","-73.927667","204","16","2003046","2025040070","189","BX0402"
"2148","103-43 120th Street - Units still available","Rental","New Construction","3","989590","3661","103-43","120 STREET","QN",,"3",,,,,,,,"3",,"11419","40.687518","-73.823612","410","29","4203780","4095580044","15802","QN1001"
"7499","1075 West Farms Road Apartments","Rental","New Construction","4",,"7966","1075","West Farms Road","BX","3","1",,,,,,"4",,,,"10459","40.825487","-73.891129","202","17","2000000","2027440043","12701","BX0202"
"2779","Amanda's Cove Waiting List","Rental","New Construction","2","858153","4320","2189","NEW ENGLAND THRUWAY SERVICE ROAD","BX",,,"1","1",,,,,"2",,,"10475","40.881886","-73.830337","212","12","2113220","2052630182","46209","BX1202"
"2025","25-88 49th Street Apartments","Rental","New Construction","2","982686","3523","25-88","49 STREET","QN",,,"2",,,,,,,"2",,"11103","40.762465","-73.906238","401","22","4014000","4007440080","145","QN0104"
"3194","3836-3838 Carpenter Avenue","Rental","New Construction","3","991506","4676","3836","CARPENTER AVENUE","BX","1","2",,,,,,,,"3",,"10467","40.885541","-73.865075","212","12","2057608","2046550006","394","BX1201"
"7518","Belle Garden Phase II","Owner","Preservation","10","868778","7993","423","HERKIMER STREET","BK",,"2","8",,,,,,"10",,,"11213","40.679096","-73.939488","303","36","3000000","3018640048","271","BK0302"
"7538","87-67 170th Street Apartments","Rental","New Construction","8","0","8026","87-67","170th St","QN","1","6",,"1",,,,"8",,,,"11432","40.710623","-73.791752","412","27","4000000","4098260049","462","QN1201"
"7509","2951 Wallace Avenue Apartments","Rental","Preservation","8","0","7977","2951","Wallace Ave","BX",,"4","4",,,,,"8",,,,"10467","40.869094","-73.864356","211","12","2000000","2045480035","33801","BX1104"
"4641","714 East 217th Street Apartments","Rental","New Construction","16","68498","6708","714","EAST 217 STREET","BX","15","1",,,,,,,,"16",,"10467","40.881926","-73.862873","212","12","2057962","2046640061","390","BX1201"
"4458","236 Berry Street Apartments","Rental","New Construction","15","0","6576","236","Berry St","BK",,"15",,,,,,,,"15",,"11249","40.715293","-73.962596","301","34",,,"555","BK0102"
"7542","3216 Glenwood Road Apartments","Rental","Preservation","4","0","8027","3216","Glenwood Rd","BK",,"2",,"2",,,,"4",,,,"11210","40.634126","-73.945604","317","45","3000000","3075600045","78602","BK1702"
"4149","2233 Bathgate Avenue Apartments","Rental","New Construction","3","1010131","6399","2233","BATHGATE AVENUE","BX",,"3",,,,,,,,"3",,"10457","40.853808","-73.892565","206","15","2129646","2030500088","385","BX0603"
"7473","645 Park Place Aka 711 Franklin Avenue Apartments","Rental","New Construction","18","0","7944","645","Park Pl","BK",,"12","6",,,,,"15",,"3",,"11216","40.674080000000004","-73.956202","308","35","3000000","3012310001","221","BK0802"
"7545","2334-2336 Valentine Avenue Apartments","Rental","New Construction","7","0","8033","2334","Valentine Ave","BX",,"3","4",,,,,"7",,,,"10458","40.857669","-73.8978","205","15","2013434","2031460019","38301","BX0503"
"3191","461 Alabama Avenue Apartments","Rental","New Construction","19","992262","4704","461","Alabama Ave","BK","9","9","1",,,,"3","16",,,,"11207","40.664864","-73.896964","305","42","3429520","3038030006","1130","BK0503"
"7488","74 West 126th Street Apartments","Rental","New Construction","5","39744","7957","74","WEST 126 STREET","MN","5",,,,,,"1","2","2",,,"10027","40.807978","-73.943897","110","09","1053526","1017230065","200","MN1001"
"7519","165 Willoughby Street Apartments","Rental","New Construction","20","1017505","8002","165","WILLOUGHBY STREET","BK","5",,"15",,,,,"20",,,,"11201","40.692038","-73.981948","302","35","3058263","3020620024","1502","BK0202"
"2708","167-171 Chrystie Street Apartments","Rental","New Construction","20","991704","4294","167","Chrystie St","MN","8","10","2",,,,"8","8",,"4",,"10002","40.720791","-73.992485","103","01","1090824","1004250030","18","MN0302"
"1875","283 Powers Street Apartments","Rental","New Construction","6","348901","3427","283","POWERS STREET","BK",,"4","2",,,,,,,"6",,"11211","40.713215","-73.93831","301","34","3070431","3029210001","481","BK0104"
"4208","39-11 Queens Boulevard Apartments","Rental","New Construction","15","0","6441","39-11","Queens Blvd","QN","2","8","5",,,,,"9",,"6",,"11104","40.743982","-73.925669","402","26","4000000","4001910044","17901","QN0202"
"4956","Third At Bankside Waiting List","Rental","New Construction","138","1002080","6872","2385","3 AVENUE","BX","47","49","38","4",,,,,,"138",,"10451","40.80819","-73.931243","201","08","2129132","2023190002","51","BX0101"
"4472","3103 Sedgwick Avenue Apartments","Rental","New Construction","13","1012994","6594","3103","Sedgwick Ave","BX",,,"12","1",,,,,,"13",,"10463","40.876766","-73.899398","208","14","2130725","2032540072","277","BX0801"
